날짜,시간대,배송유형,결제건수(상품주문번호),결제금액,발송건수,발송일준수건수,발송일준수율,배송완료건수,배송완료일준수건수,배송완료일준수율,평균배송기간(일),배송기간48시간내건수,배송시간48시간내비율
2024-06-21,18시,일반배송,0,0,0,0,,1,0,,2.2018518518518517,0,0.0
2024-06-20,19시,일반배송,1,1714000,0,0,,0,0,,0.0,0,
2024-06-20,09시,일반배송,1,308700,0,0,,0,0,,0.0,0,
2024-06-20,14시,일반배송,0,0,4,3,0.75,0,0,,0.0,0,
2024-06-19,13시,일반배송,1,245000,0,0,,0,0,,0.0,0,
2024-06-19,23시,일반배송,1,48000,0,0,,0,0,,0.0,0,
2024-06-19,12시,일반배송,0,0,0,0,,1,0,,1.877523148148148,1,1.0
2024-06-19,16시,일반배송,0,0,0,0,,1,0,,2.24125,0,0.0
2024-06-18,17시,일반배송,1,170500,0,0,,0,0,,0.0,0,
2024-06-18,11시,일반배송,0,0,0,0,,2,0,,4.03197337962963,0,0.0
2024-06-18,13시,일반배송,0,0,0,0,,2,0,,3.3423900462962965,0,0.0
2024-06-18,15시,일반배송,0,0,2,2,1.0,0,0,,0.0,0,
2024-06-17,10시,일반배송,1,294000,0,0,,0,0,,0.0,0,
2024-06-17,11시,일반배송,1,49000,0,0,,0,0,,0.0,0,
2024-06-17,15시,일반배송,1,312600,0,0,,0,0,,0.0,0,
2024-06-17,13시,일반배송,0,0,4,4,1.0,0,0,,0.0,0,
2024-06-15,11시,일반배송,0,0,0,0,,1,0,,6.32869212962963,0,0.0
2024-06-15,12시,일반배송,0,0,0,0,,1,0,,2.321550925925926,0,0.0
2024-06-14,22시,일반배송,1,19600,0,0,,0,0,,0.0,0,
2024-06-14,10시,일반배송,0,0,0,0,,1,0,,8.443530092592592,0,0.0
2024-06-14,12시,일반배송,0,0,2,1,0.5,0,0,,0.0,0,
2024-06-14,16시,일반배송,0,0,0,0,,1,0,,4.001192129629629,0,0.0
2024-06-13,22시,일반배송,1,48000,0,0,,0,0,,0.0,0,
2024-06-13,11시,일반배송,0,0,0,0,,2,0,,2.870219907407407,0,0.0
2024-06-13,16시,일반배송,0,0,0,0,,2,0,,3.1320775462962964,0,0.0
2024-06-13,17시,일반배송,0,0,2,1,0.5,0,0,,0.0,0,
2024-06-12,10시,일반배송,2,195000,0,0,,0,0,,0.0,0,
2024-06-12,11시,일반배송,1,1763000,0,0,,1,0,,6.464918981481482,0,0.0
2024-06-12,13시,일반배송,1,49000,0,0,,0,0,,0.0,0,
2024-06-12,16시,일반배송,1,979000,0,0,,0,0,,0.0,0,
2024-06-12,17시,일반배송,0,0,4,4,1.0,0,0,,0.0,0,
2024-06-11,22시,일반배송,1,62700,0,0,,0,0,,0.0,0,
2024-06-11,13시,일반배송,0,0,0,0,,1,0,,1.5496180555555554,1,1.0
2024-06-11,15시,일반배송,0,0,1,0,0.0,0,0,,0.0,0,
2024-06-11,16시,일반배송,0,0,0,0,,3,0,,2.5667901234567903,1,0.3333333333333333
2024-06-11,18시,일반배송,0,0,0,0,,1,0,,2.7671180555555552,0,0.0
2024-06-10,12시,일반배송,2,637000,0,0,,0,0,,0.0,0,
2024-06-10,14시,일반배송,2,71000,0,0,,0,0,,0.0,0,
2024-06-10,13시,일반배송,1,392000,0,0,,0,0,,0.0,0,
2024-06-10,16시,일반배송,1,4900,0,0,,0,0,,0.0,0,
2024-06-10,10시,일반배송,0,0,0,0,,1,0,,1.06125,1,1.0
2024-06-10,15시,일반배송,0,0,5,5,1.0,0,0,,0.0,0,
2024-06-09,18시,일반배송,1,21000,0,0,,0,0,,0.0,0,
2024-06-09,09시,일반배송,1,49000,0,0,,0,0,,0.0,0,
2024-06-08,11시,일반배송,0,0,0,0,,1,0,,0.6250694444444445,1,1.0
2024-06-08,13시,일반배송,0,0,0,0,,1,0,,0.4659259259259259,1,1.0
2024-06-08,16시,일반배송,0,0,0,0,,5,0,,1.7245046296296296,4,0.8
2024-06-07,12시,일반배송,1,107800,0,0,,0,0,,0.0,0,
2024-06-07,09시,일반배송,1,14700,0,0,,0,0,,0.0,0,
2024-06-07,17시,일반배송,0,0,8,8,1.0,0,0,,0.0,0,
2024-06-06,16시,일반배송,2,296500,0,0,,0,0,,0.0,0,
2024-06-06,11시,일반배송,1,121500,0,0,,0,0,,0.0,0,
2024-06-05,11시,일반배송,2,108000,0,0,,0,0,,0.0,0,
2024-06-05,16시,일반배송,2,220500,0,0,,2,0,,1.742546296296296,1,0.5
2024-06-05,15시,일반배송,1,88200,0,0,,1,0,,2.6153703703703703,0,0.0
2024-06-04,09시,일반배송,1,40000,0,0,,0,0,,0.0,0,
2024-06-04,14시,일반배송,0,0,3,3,1.0,0,0,,0.0,0,
2024-06-04,15시,일반배송,0,0,0,0,,2,0,,1.9215682870370372,1,0.5
2024-06-04,18시,일반배송,0,0,0,0,,1,0,,1.7665162037037037,1,1.0
2024-06-03,10시,일반배송,2,513500,0,0,,0,0,,0.0,0,
2024-06-03,00시,일반배송,1,670300,0,0,,0,0,,0.0,0,
2024-06-03,15시,일반배송,0,0,3,3,1.0,0,0,,0.0,0,
2024-06-02,13시,일반배송,1,979000,0,0,,0,0,,0.0,0,
2024-06-02,15시,일반배송,1,440000,0,0,,0,0,,0.0,0,
2024-06-02,17시,일반배송,1,72500,0,0,,0,0,,0.0,0,
2024-06-01,16시,일반배송,1,209000,0,0,,0,0,,0.0,0,
2024-06-01,08시,일반배송,1,59000,0,0,,0,0,,0.0,0,
2024-05-31,11시,일반배송,1,525000,0,0,,0,0,,0.0,0,
2024-05-31,13시,일반배송,0,0,0,0,,2,0,,4.852702546296296,0,0.0
2024-05-30,13시,일반배송,0,0,0,0,,4,0,,10.279953703703704,0,0.0
2024-05-30,08시,일반배송,0,0,2,0,0.0,0,0,,0.0,0,
2024-05-30,09시,일반배송,0,0,0,0,,1,0,,3.3816087962962964,0,0.0
2024-05-29,13시,일반배송,0,0,0,0,,1,0,,0.9879513888888889,1,1.0
2024-05-29,16시,일반배송,0,0,5,3,0.6,0,0,,0.0,0,
2024-05-29,23시,일반배송,0,0,0,0,,1,0,,3.328622685185185,0,0.0
2024-05-28,13시,일반배송,1,14700,1,1,1.0,1,0,,1.5610416666666669,1,1.0
2024-05-28,12시,일반배송,0,0,0,0,,1,0,,2.5322916666666666,0,0.0
2024-05-28,16시,일반배송,0,0,0,0,,2,0,,1.8910243055555556,1,0.5
2024-05-28,18시,일반배송,0,0,1,1,1.0,0,0,,0.0,0,
2024-05-27,20시,일반배송,2,139000,0,0,,0,0,,0.0,0,
2024-05-27,14시,일반배송,0,0,1,1,1.0,0,0,,0.0,0,
2024-05-27,18시,일반배송,0,0,3,3,1.0,0,0,,0.0,0,
2024-05-26,11시,일반배송,1,416500,0,0,,0,0,,0.0,0,
2024-05-26,15시,일반배송,1,67600,0,0,,0,0,,0.0,0,
2024-05-26,20시,일반배송,1,479000,0,0,,0,0,,0.0,0,
