,매장명,위도,경도,매장타입,주소,전화번호
470,동대문두타,37.56892512604548,127.00878383484597,pin_general,서울특별시 중구 장충단로 275 (을지로6가),1522-3232
471,대한상공회의소R,37.560938,126.973702,pin_reserve,서울특별시 중구 세종대로 39 (남대문로4가) 1층,1522-3232
472,국립중앙의료원,37.5665160,127.0062376,pin_general,서울특별시 중구 을지로 251 (을지로6가),1522-3232
473,동국대,37.561542,126.998437,pin_general,서울특별시 중구 서애로 1길 11,1522-3232
474,신세계본점5F,37.560951,126.981134,pin_general,서울특별시 중구 소공로 63 (충무로1가),1522-3232
475,동대문공원,37.565133,127.007191,pin_general,서울특별시 중구 장충단로 229 (광희동1가),1522-3232
476,을지로국제빌딩,37.566952,126.982219,pin_general,서울특별시 중구 남대문로 109 (다동),1522-3232
477,동대입구역,37.559593,127.006142,pin_general,서울특별시 중구 장충단로 166 (장충동1가),1522-3232
478,신당역사거리,37.565807,127.016430,pin_general,서울특별시 중구 다산로 258 (흥인동),1522-3232
479,연세세브란스,37.557207,126.97354,pin_general,서울특별시 중구 통일로 10 (남대문로5가),1522-3232
480,회현역,37.5589809,126.98074670000005,pin_general,서울특별시 중구 퇴계로 72 (회현동) 리더스뷰남산,1522-3232
481,을지로경기빌딩,37.567172,126.983156,pin_general,서울특별시 중구 남대문로10길 9 (삼각동) 경기빌딩,1522-3232
482,을지로2가,37.566347,126.988066,pin_general,서울특별시 중구 삼일대로 358 (을지로2가),1522-3232
483,신세계본점6F,37.560381,126.980758,pin_general,서울특별시 중구 퇴계로 77 (충무로1가),1522-3232
484,서울중앙우체국,37.561678,126.982117,pin_general,서울특별시 중구 소공로 70 (충무로 1가) 서울 중앙 우체국,1522-3232
485,한국프레스센터,37.567381,126.977859,pin_general,서울특별시 중구 세종대로 124 (태평로1가),1522-3232
486,명동중앙로,37.5637485,126.9857723,pin_general,서울특별시 중구 명동길 60 (명동 2가),1522-3232
487,약수역,37.555437,127.0107253,pin_general,서울특별시 중구 다산로 129 (신당동),1522-3232
488,중구저동,37.5643686,126.9903382,pin_general,서울특별시 중구 수표로 34 (저동2가),1522-3232
489,명동길,37.5620695,126.9858669,pin_general,서울특별시 중구 명동10길 41,1522-3232
490,서소문로,37.563006,126.974546,pin_general,서울특별시 중구 서소문로 120 (서소문동) 대한빌딩,1522-3232
491,신당역,37.565522,127.014554,pin_general,"서울특별시 중구 퇴계로 385, 1층 (흥인동)",1522-3232
492,명동메트로,37.565118,126.983681,pin_general,서울특별시 중구 명동9가길 14 (을지로1가) 메트로호텔,1522-3232
493,숭례문,37.55874473,126.9730952,pin_general,"서울특별시 중구 세종대로 17, 와이즈타워 1층 (남대문로5가)",1522-3232
494,순화동더샵,37.560072,126.971931,pin_general,"서울특별시 중구 칠패로 27, 1층 (순화동)",1522-3232
495,대한극장,37.56105065,126.9952735,pin_general,"서울특별시 중구 퇴계로 212 (필동2가) 1,2층",1522-3232
496,환구단,37.564448,126.979157,pin_general,서울특별시 중구 소공로 112 (소공동),1522-3232
497,무교동,37.56781712,126.978738,pin_general,서울특별시 중구 무교로 21 (무교동) 코오롱빌딩 1층,1522-3232
498,문화일보,37.56712291,126.9686642,pin_general,서울특별시 중구 새문안로 22 (충정로1가) 문화일보,1522-3232
499,태평로,37.56248285,126.9767928,pin_general,"서울특별시 중구 세종대로 72, 대영빌딩 1층 (태평로2가)",1522-3232
500,퍼시픽타워,37.56132157,126.9730264,pin_general,"서울특별시 중구 세종대로9길 41, 퍼시픽타워 1층 (서소문동)",1522-3232
501,남산단암,37.55853622,126.9754585,pin_general,"서울특별시 중구 소월로 10, 단암빌딩 (남대문로5가)",1522-3232
502,황학캐슬,37.57124,127.022905,pin_general,서울특별시 중구 청계천로 400 (황학동) 롯데캐슬베네치아,1522-3232
503,을지로삼화타워,37.566902,126.984707,pin_general,서울특별시 중구 을지로5길 16 (을지로2가) 1층,1522-3232
504,소공로,37.5637273,126.98076809999998,pin_general,"서울특별시 중구 남대문로7길 19, 삼영빌딩 1층 일부 (소공동)",1522-3232
505,을지로한국빌딩,37.565722,126.98329,pin_general,"서울특별시 중구 을지로 50, 1층 (을지로 2가)",1522-3232
506,시청,37.56629,126.979808,pin_general,"서울특별시 중구 을지로 19, 삼성화재삼성빌딩 1층 (을지로1가)",1522-3232
507,명동역,37.56102,126.98312,pin_general,"서울특별시 중구 퇴계로 101, 건물 전체 (충무로 1가)",1522-3232
508,명동입구,37.563319,126.982242,pin_general,서울특별시 중구 남대문로 68-1 (명동2가),1522-3232
509,충무로,37.5614959808102,126.992823097196,pin_general,서울특별시 중구 충무로 3 (필동1가),1522-3232
510,이마트타워,37.5607434636967,126.972528391958,pin_general,서울특별시 중구 세종대로7길 37 (순화동) 1층,1522-3232
511,동호로,37.553478403261,127.011305155237,pin_general,서울특별시 중구 동호로 171 (신당동),1522-3232
512,무교로,37.567399,126.978900,pin_general,서울특별시 중구 무교로 15 (무교동),1522-3232
513,청계크리스탈스퀘어,37.5679,126.98933,pin_general,서울특별시 중구 청계천로 106 (수표동),1522-3232
514,숭례문SG타워,37.5581293,126.9742637,pin_general,서울특별시 중구 세종대로 14 (남대문로5가),1522-3232
515,세종대로,37.568678,126.976493,pin_general,서울특별시 중구 세종대로 135-5 (태평로1가),1522-3232
516,동대문디자인플라자,37.56743,127.009758,pin_general,서울특별시 중구 을지로 281 (을지로7가) 디자인장터,1522-3232
517,별다방,37.5602013,126.9829327,pin_reserve,서울특별시 중구 퇴계로 100 (회현동2가),1522-3232
518,포포인츠명동,37.5657211,126.9893426,pin_general,서울특별시 중구 삼일대로10길 36 (저동2가),1522-3232
519,명동남산,37.560809,126.986397,pin_general,서울특별시 중구 퇴계로 132 (남산동3가),1522-3232
520,대우재단빌딩,37.556781,126.975081,pin_general,서울특별시 중구 퇴계로 18 (남대문로5가),1522-3232
521,명일역,37.552580,127.143799,pin_general,서울특별시 강동구 양재대로 1647 (명일동),1522-3232
522,강동구청DT,37.529437,127.123835,pin_generalDT,서울특별시 강동구 성내로 32 (성내동),1522-3232
523,강동암사DT,37.555054,127.130065,pin_generalDT,서울특별시 강동구 고덕로 43 (암사동),1522-3232
524,굽은다리역,37.545403,127.143101,pin_general,"서울특별시 강동구 양재대로 1568 (명일동, 원일타워)",1522-3232
525,강동역,37.536047,127.133086,pin_general,"서울특별시 강동구 천호대로 1089 (천호동, 강동 헤르셔)",1522-3232
526,둔촌동,37.522724,127.133943,pin_general,서울특별시 강동구 양재대로 1303 (성내동) 평원빌딩,1522-3232
527,천호로데오,37.5378069,127.12730940000006,pin_reserve,서울특별시 강동구 천호대로 1037 (천호동),1522-3232
528,천호이마트,37.538933,127.125214,pin_general,서울특별시 강동구 천호대로 1015-14 (천호동) 이마트별관,1522-3232
529,길동역,37.5387433,127.1399879,pin_general,서울특별시 강동구 양재대로 1487 (길동),1522-3232
530,상일동,37.5507989598659,127.174104292142,pin_general,"서울특별시 강동구 상일로10길 36, 1~2층 (상일동)",1522-3232
531,천호역,37.53795191,127.1245793,pin_general,"서울특별시 강동구 천호대로 1012, 태승빌딩 (성내동)",1522-3232
532,명일이마트,37.553991,127.155984,pin_general,서울특별시 강동구 동남로75길 5 (명일동) 명일이마트별관주차장,1522-3232
533,상일동역,37.55754181615496,127.17072672474717,pin_general,"서울특별시 강동구 고덕로 399 (고덕동, 고덕센트럴푸르지오)",1522-3232
534,천호사거리,37.539702,127.123542,pin_general,서울특별시 강동구 올림픽로 651 (천호동),1522-3232
